"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Abilene Christian",71.6065,74,69.9299,102,106.373,74,103.152,157,86.3925,1,92.9798,32,10.1718,85
"2021","Air Force",63.9145,341,63.0872,349,92.1076,319,94.5695,299,112.554,337,110.528,322,-15.958,328
"2021","Akron",69.9086,141,68.762,155,108.567,44,108.657,74,102.99,220,100.777,139,7.87993,103
"2021","Alabama",75.1471,10,73.904,9,105.998,83,111.816,34,92.8416,18,86.7357,2,25.0799,8
"2021","Alabama A&M",69.9672,138,67.8149,209,88.2408,341,84.6051,354,94.3829,32,105.797,253,-21.1916,348
"2021","Alabama St.",72.35,47,71.0755,62,88.7809,338,84.1806,355,98.676,95,110.392,321,-26.2115,354
"2021","Albany",69.6695,150,69.8707,106,99.3743,206,97.3454,259,98.7827,99,103.902,208,-6.5564,234
"2021","Alcorn St.",71.1493,91,69.7221,111,93.3911,307,90.7954,336,105.749,275,110.198,319,-19.403,343
"2021","American",67.7295,237,67.7368,217,97.2799,251,96.623,273,104.022,241,105.829,255,-9.2063,262
"2021","Appalachian St.",66.0627,307,65.7213,308,99.5291,205,98.4169,242,100.552,150,102.796,186,-4.37897,208
"2021","Arizona",68.2874,210,68.0055,197,109.611,34,113.525,26,99.7887,127,97.4346,85,16.0901,44
"2021","Arizona St.",72.5746,45,72.7984,22,101.415,168,106.595,101,105.508,269,100.22,125,6.37537,113
"2021","Arkansas",75.3323,7,73.0796,17,108.753,39,111.607,35,93.4594,22,89.9938,14,21.6133,18
"2021","Arkansas Pine Bluff",69.4302,167,67.2548,238,88.4297,340,91.0016,333,109.74,320,114.759,354,-23.7574,350
"2021","Arkansas St.",69.15,177,67.8941,205,99.682,202,99.0842,235,102.533,208,107.027,273,-7.94278,251
"2021","Army",69.9251,140,68.4069,176,100.851,182,98.6768,240,100.723,152,101.053,150,-2.37613,190
"2021","Auburn",73.3981,29,71.2423,54,104.136,110,111.511,37,102.899,216,98.3919,103,13.1196,62
"2021","Austin Peay",68.6263,195,67.047,249,105.545,87,103.991,134,103.343,227,108.714,303,-4.72342,212
"2021","Ball St.",72.104,56,70.9655,67,102.735,146,103.425,149,103.684,232,101.327,156,2.09829,140
"2021","Baylor",70.2185,123,68.3623,180,119.43,2,123.359,3,94.472,34,93.803,44,29.5563,4
"2021","Bellarmine",65.4292,322,64.6667,332,111.008,23,107.474,89,104.34,245,108.654,300,-1.17919,183
"2021","Belmont",71.8891,64,71.0248,63,113.007,12,109.598,62,96.1514,53,101.788,166,7.80911,104
"2021","Bethune Cookman",0,348,72.5957,24,0,348,90.2332,341,200,348,112.394,341,-22.1609,349
"2021","Binghamton",66.1369,304,66.2245,288,97.0683,256,97.1876,265,107.511,297,112.16,339,-14.9728,323
"2021","Boise St.",69.8913,142,69.3927,127,108.554,45,110.154,58,96.5853,62,96.4702,71,13.6842,59
"2021","Boston College",71.8469,66,71.1062,60,98.6866,219,105.203,121,109.915,323,103.064,195,2.13907,139
"2021","Boston University",67.6889,241,65.9081,304,102.608,147,100.566,207,109.222,316,108.697,302,-8.13054,254
"2021","Bowling Green",72.2045,52,70.4074,88,107.081,60,107.135,97,103.91,238,102.322,181,4.81277,123
"2021","Bradley",65.8918,314,66.1768,290,101.087,178,103.513,144,102.53,207,101.555,161,1.95875,142
"2021","Brown",0,348,69.9737,99,0,348,95.2952,288,200,348,102.628,183,-7.33286,247
"2021","Bryant",75.5113,6,73.5728,14,107.685,57,103.559,143,98.1263,82,104.259,215,-0.700436,179
"2021","Bucknell",73.0719,33,72.1404,32,102.372,150,97.4136,256,105.929,278,107.608,286,-10.1947,274
"2021","Buffalo",74.4971,12,73.5752,13,108.587,43,107.196,94,97.1363,66,95.1415,57,12.0547,70
"2021","Butler",65.1493,330,64.8574,330,96.1219,273,102.819,164,103.968,239,96.9459,79,5.87271,115
"2021","BYU",70.3849,115,67.968,200,108.904,38,113.128,27,96.3259,55,92.1548,26,20.9736,24
"2021","Cal Baptist",71.069,93,70.8006,76,106.632,69,103.863,137,107.104,289,111.015,329,-7.15155,244
"2021","Cal Poly",67.9235,231,67.0747,246,87.5531,342,89.4352,346,105.638,271,106.296,264,-16.8612,334
"2021","Cal St. Bakersfield",65.2712,326,63.9096,344,103.461,126,103.857,138,99.9837,132,101.915,170,1.94207,143
