Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2002,Duke,77.0734,8,73.9016,10,116.373,1,121.374,1,90.2544,4,87.3522,2,34.022,1,1
2002,Cincinnati,68.4368,212,66.9485,202,112.274,10,117.448,7,86.3924,1,86.6033,1,30.8442,2,1
2002,Kansas,79.0371,5,77.6019,2,114.544,4,118.1,5,94.4261,39,90.3113,7,27.7883,3,1
2002,Maryland,75.2758,20,73.3263,16,113.167,5,118.151,4,94.3706,36,91.2974,12,26.8534,4,1
2002,Florida,71.8971,84,69.5612,95,110.418,22,115.387,16,91.125,7,89.6694,5,25.7176,5,5
2002,Oklahoma,69.3604,180,65.8584,235,111.044,16,113.306,25,91.4413,8,88.4422,4,24.8637,6,2
2002,Oregon,73.3053,52,70.5594,63,116.342,2,119.924,2,96.8665,75,95.8006,41,24.1236,7,2
2002,Indiana,65.7442,285,64.7779,269,105.397,80,112.595,31,94.4987,42,89.6736,6,22.9213,8,5
2002,Marquette,67.3809,244,64.5763,277,108.564,36,113.298,26,90.0151,2,91.0361,11,22.2615,9,5
2002,Kentucky,70.2659,145,67.6361,174,105.277,85,112.536,32,94.9881,49,90.3566,8,22.1792,10,4
2002,Illinois,70.3965,139,68.6908,138,109.664,24,114.796,19,96.4559,69,92.8809,21,21.9149,11,4
2002,USC,71.6328,94,69.4315,103,107.349,51,112.82,30,95.4624,57,90.9967,10,21.8232,12,4
2002,Arizona,74.1462,32,71.2261,53,111.008,17,119.212,3,104.041,235,97.3917,66,21.8199,13,3
2002,Stanford,71.4355,101,69.5528,96,112.521,9,116.857,9,99.801,142,95.8058,42,21.0509,14,8
2002,Ohio St.,66.3782,274,66.4133,220,111.339,15,116.892,8,96.5748,71,96.0636,47,20.8285,15,4
2002,Alabama,69.8636,167,67.8101,165,108.436,40,114.177,24,95.2313,55,94.1585,29,20.0181,16,2
2002,Gonzaga,70.978,114,67.9914,160,112.748,7,116.295,11,93.6616,28,96.4997,56,19.7952,17,6
2002,Kent St.,65.4145,288,64.1921,282,115.755,3,115.899,14,96.7084,73,96.5628,57,19.3362,18,10
2002,Pittsburgh,66.5007,268,63.3188,293,107.34,52,111.804,38,90.1442,3,92.5312,16,19.2728,19,3
2002,Mississippi St.,70.0123,159,67.6977,171,104.527,99,111.797,39,94.7267,46,92.8341,20,18.9632,20,3
2002,Georgia,70.6786,129,69.2028,112,108.448,38,116.091,12,100.511,160,97.2536,63,18.8371,21,3
2002,South Carolina,66.8645,257,64.6221,274,100.539,165,106.859,96,91.5564,10,88.081,3,18.7782,22,
2002,Xavier,66.8298,259,66.4403,219,108.351,42,111.243,43,93.2482,22,92.5336,17,18.7095,23,7
2002,Connecticut,71.8605,87,68.9657,123,106.195,64,110.579,52,93.6429,27,92.0294,15,18.5499,24,2
2002,Mississippi,66.967,253,64.2148,281,107.729,45,114.224,23,95.6265,59,95.8383,43,18.3854,25,9
2002,North Carolina St.,69.9059,166,67.2156,190,108.394,41,112.169,35,96.7003,72,93.9116,26,18.2573,26,7
2002,Notre Dame,70.3693,140,68.1446,156,109,31,115.319,18,95.8235,60,97.5508,70,17.7678,27,8
2002,Texas Tech,72.5477,68,69.7493,91,109.076,30,114.262,22,97.7252,89,96.9368,60,17.3249,28,6
2002,Michigan St.,64.8412,297,62.9567,301,107.569,47,113.29,27,98.5233,102,96.0881,48,17.2017,29,10
2002,Butler,62.5283,318,61.7509,316,110.989,18,111.038,44,90.4143,5,94.0056,28,17.0321,30,
2002,Charlotte,68.4682,211,66.7234,208,107.288,53,114.501,20,99.058,117,97.5064,68,16.9942,31,9
2002,California,68.9445,191,66.4567,217,104.047,107,109.706,63,94.9897,50,92.8917,22,16.8143,32,6
2002,Wake Forest,73.2075,53,69.4424,102,110.631,20,117.448,6,103.941,234,100.767,125,16.6817,33,7
2002,Dayton,66.8738,256,66.458,216,108.967,32,112.512,33,94.4969,41,95.9593,45,16.5527,34,
2002,Texas,70.7855,125,68.8534,129,109.9,23,116.036,13,102.734,204,99.5269,99,16.5086,35,6
2002,Miami FL,70.5375,134,68.5524,142,104.557,97,110.135,58,93.077,20,93.973,27,16.1625,36,5
2002,Memphis,73.1418,56,69.8242,87,108.547,37,111.831,37,94.9265,48,95.8415,44,15.9896,37,
2002,Georgetown,73.7815,43,70.9341,59,105.754,73,110.097,59,93.5083,25,94.247,30,15.85,38,
2002,Oklahoma St.,68.8801,194,65.7045,240,103.935,111,107.591,90,92.8097,18,91.8978,14,15.6932,39,7
2002,UCLA,69.505,177,67.0304,197,106.244,63,113.259,28,102.937,211,97.9373,77,15.3217,40,8
2002,Western Kentucky,69.0281,188,67.0926,192,109.122,29,110.535,54,92.5488,16,95.2192,34,15.3154,41,9
2002,Utah,62.6181,316,61.8472,314,107.712,46,111.442,40,97.4318,81,96.1611,49,15.2805,42,12
2002,Tulsa,71.3555,104,69.5823,93,112.082,12,114.383,21,96.5354,70,99.1584,92,15.2246,43,12
2002,Missouri,70.7578,127,68.7099,137,112.716,8,115.323,17,101.992,185,100.214,113,15.1086,44,12
2002,Valparaiso,69.9092,165,68.1911,155,110.569,21,111.344,41,94.0668,30,97.2123,62,14.1322,45,13
2002,Minnesota,68.9526,190,68.385,147,108.13,43,113.056,29,101.245,173,99.0985,89,13.9574,46,
